epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,288.394,1.40884,4.20082,0.01228,0.61217,0.47707,0.52037,0.29307,1.41535,2.3085,0.01747,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215
2,539.48,1.42923,1.89457,0.01287,0.61669,0.51563,0.56126,0.32497,1.48505,1.74962,0.01868,0.0197688,0.00658959,0.0197688,0.00658959,0.0197688,0.00658959,0.0197688,0.00658959
3,791.215,1.50147,1.71789,0.01382,0.57209,0.44782,0.47597,0.2439,1.72706,1.95204,0.02407,0.0293731,0.00979104,0.0293731,0.00979104,0.0293731,0.00979104,0.0293731,0.00979104
4,1042.63,1.54326,1.68137,0.01439,0.6166,0.46485,0.51305,0.27326,1.62638,1.91563,0.02165,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1294.78,1.52375,1.61583,0.01402,0.68894,0.57015,0.64101,0.37125,1.52548,1.53763,0.01976,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1546.43,1.5138,1.56293,0.0139,0.63846,0.51863,0.58435,0.33086,1.57465,1.64973,0.02094,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1798.26,1.49459,1.54225,0.01367,0.70793,0.56689,0.64846,0.38227,1.5001,1.46308,0.01921,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2049.73,1.49029,1.51498,0.0136,0.68504,0.58017,0.6532,0.38281,1.48926,1.41562,0.01926,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2301.01,1.47724,1.5036,0.01344,0.69943,0.58544,0.65306,0.38813,1.46334,1.40982,0.01884,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2553.03,1.47296,1.48949,0.01337,0.68832,0.59867,0.67184,0.40399,1.46936,1.36552,0.01867,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2805.45,1.46274,1.467,0.01329,0.69231,0.55599,0.63196,0.36799,1.50023,1.48361,0.01904,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3056.89,1.46198,1.45332,0.01319,0.72032,0.60212,0.68673,0.42067,1.42664,1.30788,0.0179,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3308.07,1.45682,1.44502,0.01317,0.67324,0.50332,0.58446,0.34696,1.52353,1.7268,0.02019,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3559.38,1.44957,1.4328,0.01319,0.69928,0.60191,0.67664,0.40334,1.43048,1.33258,0.01807,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3810.91,1.44975,1.42959,0.01303,0.74266,0.6069,0.69589,0.42163,1.43129,1.27167,0.0178,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4061.84,1.44348,1.42181,0.01299,0.73886,0.61439,0.70586,0.44008,1.3913,1.24032,0.01721,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4313.49,1.44007,1.41689,0.01294,0.74154,0.62919,0.71494,0.44552,1.36401,1.23813,0.01668,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4564.5,1.44054,1.41541,0.01293,0.74877,0.63685,0.72254,0.45641,1.37116,1.20007,0.01699,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4817.33,1.43794,1.4026,0.01286,0.72929,0.63138,0.71868,0.45985,1.36036,1.18143,0.01672,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5068.38,1.43117,1.39394,0.01285,0.75075,0.62777,0.72131,0.45697,1.35587,1.20148,0.01674,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5320.63,1.42688,1.39907,0.01282,0.74536,0.63495,0.72279,0.46219,1.35002,1.17,0.01635,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5571.74,1.42906,1.38593,0.01285,0.75188,0.63505,0.73026,0.46379,1.33989,1.1744,0.01625,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5823.2,1.42479,1.38066,0.01277,0.74425,0.63951,0.73146,0.47104,1.33921,1.14766,0.01644,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6074.53,1.42689,1.37587,0.01273,0.76508,0.64256,0.73882,0.4805,1.32381,1.1331,0.01609,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6326.38,1.42021,1.37731,0.01267,0.75359,0.64686,0.74038,0.48072,1.31477,1.14883,0.01593,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6578.23,1.42066,1.36346,0.01269,0.757,0.65967,0.74747,0.48759,1.30553,1.11586,0.01578,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6830.49,1.41035,1.36339,0.01265,0.75644,0.6571,0.74455,0.48908,1.29705,1.12596,0.01557,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7081.37,1.41245,1.35927,0.01263,0.76355,0.66179,0.74897,0.4906,1.29439,1.1111,0.01556,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7332.21,1.41184,1.35945,0.01253,0.7637,0.65609,0.74925,0.49476,1.2907,1.09689,0.01547,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7583.62,1.40911,1.35151,0.01255,0.75667,0.66567,0.7528,0.49587,1.29153,1.08645,0.01545,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7835.3,1.40919,1.34894,0.0125,0.76934,0.65784,0.75397,0.4969,1.27725,1.11351,0.01522,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8086.4,1.40624,1.34913,0.01251,0.76117,0.66228,0.75558,0.50146,1.27532,1.08815,0.01524,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
