epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9546,2.14829,4.72763,3.66748,0.02064,4.81676,0.46027,0.34852,0.27906,0.11472,0.25057,0.24018,0.13594,0.04668,2.04995,4.05111,3.06725,0.02682,0,0.00031673,0.00031673,0.00031673
2,103.796,1.72898,3.34248,2.06264,0.01388,1.60748,0.40283,0.47433,0.33891,0.14926,0.35941,0.40686,0.25983,0.09509,1.78392,3.15046,4.04644,0.02222,0,0.000648521,0.000648521,0.000648521
3,133.229,1.61484,3.02859,1.82769,0.01224,1.50711,0.49086,0.45136,0.41512,0.18507,0.4833,0.39592,0.35906,0.1456,1.78906,3.05543,2.8038,0.0224,0,0.000978662,0.000978662,0.000978662
4,162.766,1.5655,2.89591,1.77549,0.0117,1.39083,0.47502,0.42651,0.42091,0.21542,0.39247,0.39832,0.32479,0.14329,1.72678,2.96143,2.18108,0.02061,0,0.00130715,0.00130715,0.00130715
5,192.734,1.52728,2.88189,1.73965,0.0114,1.25879,0.52815,0.45752,0.46839,0.25065,0.47662,0.42337,0.39049,0.17339,1.6666,2.82846,1.9909,0.01986,0,0.00163399,0.00163399,0.00163399
6,223.301,1.52349,2.77026,1.67825,0.01187,1.26336,0.52293,0.52051,0.48664,0.25264,0.47961,0.45767,0.41583,0.18815,1.64065,2.76181,1.82691,0.02027,0,0.00164637,0.00164637,0.00164637
7,254.188,1.50689,2.79062,1.65929,0.01168,1.24263,0.51808,0.46636,0.46031,0.23995,0.45986,0.41586,0.37291,0.16697,1.71438,3.0478,1.90221,0.02047,0,0.00164225,0.00164225,0.00164225
8,285.011,1.53243,2.73391,1.61394,0.01115,1.2367,0.51015,0.49331,0.4744,0.23897,0.46635,0.43679,0.38353,0.17115,1.6929,2.8486,1.88132,0.02072,0,0.00163812,0.00163812,0.00163812
9,314.907,1.49528,2.6889,1.60688,0.01112,1.20858,0.5786,0.42494,0.45982,0.26246,0.5143,0.38336,0.37682,0.16594,1.65969,2.90414,1.86684,0.0188,0,0.00163399,0.00163399,0.00163399
10,344.874,1.47722,2.69514,1.58757,0.01095,1.20216,0.53319,0.51567,0.50842,0.27559,0.46662,0.43979,0.39033,0.18438,1.65551,2.66492,1.71448,0.01916,0,0.00162987,0.00162987,0.00162987
11,376.368,1.4819,2.61582,1.56757,0.01073,1.12692,0.55617,0.5295,0.5342,0.29422,0.51175,0.45084,0.41039,0.1773,1.64202,2.72284,1.72568,0.01916,0,0.00162574,0.00162574,0.00162574
12,406.766,1.51084,2.69024,1.55539,0.01141,1.27789,0.48173,0.52997,0.47749,0.23933,0.44682,0.48519,0.40364,0.17698,1.70355,2.74342,1.88152,0.02134,0,0.00162162,0.00162162,0.00162162
13,435.747,1.45406,2.61085,1.53009,0.01107,1.17157,0.54436,0.53548,0.51704,0.28134,0.50029,0.4964,0.44171,0.20704,1.61946,2.71345,1.75626,0.01927,0,0.00161749,0.00161749,0.00161749
14,465.666,1.43515,2.59526,1.49739,0.01059,1.1613,0.55642,0.54433,0.53331,0.29949,0.50763,0.48439,0.44475,0.19797,1.54793,2.6702,1.72205,0.01813,0,0.00161336,0.00161336,0.00161336
15,495.15,1.43788,2.58104,1.51052,0.01039,1.18534,0.55646,0.48592,0.47785,0.26422,0.49864,0.43744,0.40088,0.18697,1.61033,2.7562,1.81686,0.01964,0,0.00160924,0.00160924,0.00160924
16,525.618,1.47269,2.56099,1.51485,0.01053,1.17039,0.59619,0.51308,0.53229,0.30185,0.53779,0.46369,0.44359,0.21179,1.60689,2.67031,1.67671,0.01869,0,0.00160511,0.00160511,0.00160511
