epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.668,1.34447,3.3147,3.54827,0.01167,3.00225,0.43241,0.33679,0.30688,0.16245,0.37362,0.29144,0.23345,0.09117,1.5092,3.15242,3.44622,0.01873,0,0.0298193,0.00993976,0.0298193,0.00993976,0.0298193,0.00993976,0.0298193,0.00993976
2,360.165,1.4969,3.15637,2.36988,0.01365,2.6311,0.48805,0.40853,0.41049,0.21294,0.45825,0.32585,0.3044,0.12722,1.61994,2.99226,2.33286,0.02176,0,0.0299992,0.00999973,0.0299992,0.00999973,0.0299992,0.00999973,0.0299992,0.00999973
3,532.679,1.4964,3.04923,2.04799,0.01343,2.24574,0.48508,0.34218,0.33516,0.16406,0.41471,0.29241,0.26112,0.1003,1.69886,3.14792,2.45626,0.02284,0,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891
4,704.992,1.47661,2.95585,1.91784,0.01335,1.91033,0.55763,0.46422,0.48195,0.27053,0.52583,0.41685,0.40675,0.18575,1.52256,2.56867,1.95804,0.01928,0,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,877.877,1.46353,2.92439,1.84398,0.01306,1.76472,0.49909,0.41387,0.4343,0.2275,0.44467,0.36575,0.34769,0.15528,1.60219,2.88112,2.17817,0.02116,0,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,1050.85,1.45896,2.86767,1.80097,0.01274,1.72764,0.52518,0.50041,0.4956,0.28434,0.47634,0.42157,0.38839,0.18109,1.51566,2.61429,1.89034,0.01981,0,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,1223.64,1.4297,2.85616,1.75461,0.01276,1.61958,0.55784,0.49374,0.50492,0.29457,0.48495,0.41719,0.38509,0.18445,1.54192,2.63197,1.90293,0.01934,0,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,1397.6,1.4306,2.84429,1.73217,0.01242,1.57813,0.52682,0.43045,0.43972,0.24895,0.46514,0.38056,0.35556,0.16407,1.55199,2.59749,2.20398,0.01944,0,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,1570.55,1.42729,2.79987,1.69543,0.01243,1.53782,0.55298,0.50394,0.53377,0.31298,0.47674,0.4675,0.43663,0.20298,1.48392,2.47959,1.82605,0.01827,0,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,1743.5,1.40991,2.76475,1.65581,0.01207,1.4499,0.61385,0.52961,0.56525,0.33525,0.5654,0.46383,0.46823,0.24172,1.47313,2.40925,1.69467,0.01873,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,1915.83,1.394,2.74749,1.63738,0.01199,1.44393,0.55062,0.51149,0.54087,0.31081,0.49074,0.43342,0.41573,0.19605,1.50625,2.44597,1.71919,0.01863,0,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,2087.44,1.37721,2.73811,1.60516,0.01179,1.42375,0.54907,0.56482,0.56397,0.34183,0.52673,0.46992,0.45356,0.22141,1.46981,2.42656,1.59756,0.01821,0,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,2259.94,1.38022,2.71572,1.61148,0.01186,1.41535,0.58657,0.53945,0.55155,0.34004,0.52389,0.47362,0.45112,0.22605,1.45375,2.44181,1.79551,0.01722,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,2431.95,1.35252,2.67913,1.56543,0.01174,1.35736,0.55796,0.50451,0.52979,0.32545,0.52199,0.4481,0.42763,0.21397,1.48857,2.38656,1.69727,0.01821,0,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
