epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.514,1.52633,3.0061,2.04857,0.01205,2.7493,0.5875,0.43358,0.47241,0.26866,0.55106,0.38391,0.38893,0.18113,1.5897,2.95159,2.07447,0.02002,0,0.0297945,0.00993151,0.0297945,0.00993151,0.0297945,0.00993151,0.0297945,0.00993151
2,213.267,1.47289,2.8397,1.61533,0.01086,2.39082,0.58515,0.49671,0.5185,0.31559,0.52939,0.43841,0.42404,0.22159,1.47097,2.57481,1.66025,0.01759,0,0.0299992,0.00999973,0.0299992,0.00999973,0.0299992,0.00999973,0.0299992,0.00999973
3,303.558,1.43126,2.77811,1.54572,0.01059,1.97963,0.63882,0.53039,0.57664,0.35729,0.55609,0.47853,0.47174,0.24876,1.42588,2.54097,1.65916,0.0165,0,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891
4,393.926,1.41544,2.74904,1.52711,0.01028,1.7399,0.64183,0.54031,0.58262,0.37366,0.59245,0.4714,0.47559,0.25507,1.39647,2.51814,1.64689,0.01547,0,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,484.621,1.40086,2.69725,1.48266,0.00988,1.54452,0.64769,0.53926,0.58928,0.36791,0.55933,0.48619,0.47665,0.23846,1.44169,2.49936,1.55848,0.01673,0,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,575.136,1.38154,2.68137,1.47011,0.00993,1.52584,0.61397,0.51544,0.54853,0.34304,0.56244,0.45471,0.45791,0.24365,1.46745,2.5458,1.6276,0.01754,0,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,665.849,1.38571,2.67858,1.47667,0.00992,1.42528,0.66865,0.57553,0.63351,0.4067,0.59181,0.50955,0.50863,0.26824,1.37385,2.48469,1.46381,0.01561,0,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,756.511,1.36456,2.63696,1.4456,0.00986,1.41639,0.64535,0.49939,0.55993,0.35398,0.54132,0.45778,0.44997,0.24213,1.43458,2.56222,1.64977,0.01702,0,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,847.176,1.37878,2.61653,1.4425,0.00965,1.34672,0.63795,0.53396,0.56774,0.35047,0.58453,0.47872,0.4825,0.24311,1.41713,2.5069,1.72334,0.0163,0,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,937.92,1.36245,2.6148,1.41053,0.00951,1.29242,0.62934,0.56948,0.61242,0.39507,0.55956,0.5108,0.50327,0.27419,1.35602,2.5129,1.44386,0.0153,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,1028.26,1.36415,2.58809,1.40865,0.00959,1.24714,0.65618,0.52932,0.57463,0.35454,0.60414,0.47713,0.48233,0.25134,1.42342,2.48561,1.75013,0.01688,0,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,1118.94,1.35889,2.56767,1.392,0.00937,1.20728,0.66009,0.58986,0.63645,0.41959,0.60306,0.52745,0.52292,0.28653,1.33569,2.40762,1.47436,0.01498,0,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,1209.61,1.35071,2.57183,1.41186,0.00958,1.25437,0.6758,0.57983,0.6229,0.4132,0.61269,0.50653,0.52917,0.2966,1.33149,2.40271,1.46842,0.01491,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,1300.34,1.35462,2.55997,1.4001,0.00949,1.23114,0.66061,0.59522,0.63136,0.41315,0.62763,0.53451,0.53724,0.29143,1.32008,2.37889,1.45159,0.01443,0,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,1390.41,1.34389,2.54272,1.3888,0.00937,1.23413,0.64861,0.58481,0.63428,0.41629,0.60081,0.52629,0.54038,0.30782,1.32835,2.33127,1.46821,0.01472,0,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,1481.56,1.33861,2.53499,1.36452,0.00944,1.19336,0.63142,0.57542,0.61879,0.40082,0.6298,0.49683,0.52292,0.28082,1.36455,2.46175,1.46173,0.01577,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,1572.67,1.33443,2.51869,1.36679,0.00938,1.18492,0.65151,0.57073,0.63177,0.40874,0.57743,0.51901,0.51602,0.27722,1.35309,2.39604,1.43411,0.0154,0,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,1663.23,1.32936,2.48812,1.34677,0.00923,1.14541,0.66962,0.56764,0.6098,0.39991,0.63601,0.51519,0.51675,0.28585,1.363,2.50985,1.51246,0.0151,0,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,1753.49,1.31998,2.50463,1.33834,0.00926,1.1465,0.69516,0.57707,0.64741,0.4286,0.63601,0.52797,0.55011,0.30466,1.30789,2.33355,1.36981,0.01441,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,1844.14,1.31937,2.45952,1.31801,0.00928,1.11614,0.64215,0.63165,0.64557,0.41707,0.59288,0.56657,0.53637,0.28816,1.33218,2.41009,1.36774,0.01479,0,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,1934.8,1.30558,2.44318,1.32207,0.00919,1.10053,0.64221,0.61934,0.64087,0.42904,0.63489,0.52222,0.5375,0.30719,1.29954,2.33512,1.43281,0.01451,0,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,2025.54,1.32045,2.46942,1.3156,0.00906,1.1048,0.66909,0.59155,0.62726,0.42025,0.60095,0.53731,0.5285,0.29175,1.32937,2.36453,1.43308,0.0144,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,2116.48,1.32849,2.46268,1.3213,0.0091,1.09111,0.67217,0.58308,0.64261,0.43264,0.62556,0.5162,0.53053,0.29761,1.31049,2.34036,1.40309,0.01491,0,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,2207.22,1.31306,2.48181,1.31904,0.00908,1.11067,0.66419,0.59236,0.63427,0.42215,0.62525,0.53029,0.53986,0.29739,1.30867,2.45092,1.41169,0.01479,0,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,2297.72,1.31529,2.46306,1.32711,0.0092,1.12197,0.67957,0.59048,0.64782,0.43297,0.63346,0.53596,0.54332,0.31322,1.32465,2.41653,1.39574,0.0145,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,2388.78,1.31981,2.4267,1.30086,0.00894,1.07196,0.67736,0.60036,0.64874,0.42816,0.5997,0.53678,0.52677,0.29634,1.31325,2.45241,1.42712,0.01451,0,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,2479.11,1.29926,2.41565,1.29337,0.00892,1.06927,0.65971,0.60174,0.64618,0.43368,0.59583,0.55771,0.54792,0.30834,1.29437,2.38763,1.37475,0.01433,0,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,2569.91,1.30317,2.42298,1.27913,0.00894,1.05787,0.67958,0.61547,0.65356,0.43642,0.63294,0.56065,0.55646,0.31391,1.26688,2.30035,1.35693,0.01384,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,2661.09,1.29427,2.39477,1.27751,0.00885,1.06917,0.66908,0.61643,0.65908,0.44506,0.60542,0.55929,0.56429,0.3202,1.31388,2.3497,1.38615,0.01415,0,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,2751.75,1.29746,2.41197,1.29052,0.00904,1.05192,0.71052,0.5975,0.65133,0.43641,0.64902,0.53279,0.53917,0.30496,1.29468,2.50433,1.37982,0.01412,0,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,2842.37,1.29806,2.38698,1.28082,0.00886,1.04374,0.69335,0.59284,0.65235,0.42933,0.61024,0.55177,0.52808,0.28923,1.31357,2.37889,1.43536,0.01443,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,2932.73,1.28398,2.41761,1.27885,0.00896,1.0567,0.67414,0.62361,0.66448,0.43851,0.62008,0.56431,0.55932,0.31432,1.29337,2.41636,1.33687,0.01423,0,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,3023.29,1.29346,2.38839,1.26493,0.00885,1.03886,0.68255,0.61147,0.65389,0.43487,0.64465,0.55056,0.56907,0.3184,1.31245,2.32221,1.36938,0.01479,0,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,3113.63,1.27848,2.39438,1.26192,0.00879,1.01377,0.67717,0.6047,0.66195,0.44192,0.62234,0.56393,0.57072,0.32587,1.2871,2.34236,1.33856,0.014,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,3204.21,1.28603,2.36714,1.26274,0.00874,1.03401,0.72654,0.59214,0.66086,0.44458,0.66942,0.52779,0.55278,0.32118,1.29115,2.45378,1.35311,0.01433,0,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
